ID_caso,Nombre_caso,link_archivo,ID_publicación,Plataforma,Fecha,Hora,Fecha y Hora,Hora ISO,URL,Tipo contenido,ID_cuenta,usuario,Likes,Max_likes,Likes_norm,Shares,Max_shares,Shares_norm,Comments,Max_comments,Comments_norm,Views,Max_views,Views_norm,Impacto
C00001,Encuesta Altica,https://drive.google.com/file/d/12kfnHsi2Pie17vHlVX8evvLuivQdx65_/view?usp=drive_link,P00040,Facebook,03/04/2026,18:38:00,3/04/2026 18:38:00,2026-04-03T18:38:00,https://www.facebook.com/diariolarazonperu/posts/pfbid02rUuwhUo9UTsvvXAWjphXk84d2NeW83yQHDv4UEK9cCjBgszVfsT2eZmjvucQEjPBl,Texto + Imagen,U00039,diariolarazonperu,48,676,"0,07",7,1.000,"0,01",24,814,"0,03",-,87.700,,"0,027"
C00001,Encuesta Altica,https://drive.google.com/file/d/1aPoeJ2v6ABXRQuyRJk5wP3wZrNjX4DV3/view?usp=drive_link,P00018,X,03/04/2026,21:25:00,3/04/2026 21:25:00,2026-04-03T21:25:00,https://x.com/ugluis/status/2040254383263248743,Link,U00022,"@ugluis",44,676,"0,07",8,1.000,"0,01",5,814,"0,01",825,87.700,"0,01","0,022"
C00001,Encuesta Altica,https://drive.google.com/file/d/1LFjtlWD-T6KVIL_Vn8f6a7OK7FkJ3Od8/view?usp=drive_link,P00039,Facebook,04/04/2026,23:38:00,4/04/2026 23:38:00,2026-04-04T23:38:00,https://www.facebook.com/PorkyArmyOficial/posts/pfbid0ECKu96CUJ65Qx2Jv2X499W68sK9edn9LRbBTYpDUrR6wLnf2E8wb7yRPwUq2zh6dl,Texto + Imagen,U00025,PorkyArmyOficial,67,676,"0,10",42,1.000,"0,04",10,814,"0,01",-,87.700,,"0,038"
C00001,Encuesta Altica,https://drive.google.com/open?id=1ot2ROwqhER5GwEYge6Mn5tBvmasENy7X&usp=drive_copy,P00051,Facebook,04/04/2026,23:43:00,4/04/2026 23:43:00,2026-04-04T23:43:00,https://www.facebook.com/groups/1073845516467211/?multi_permalinks=2391186178066465&hoisted_section_header_type=recently_seen,Texto + Imagen,U00025,PorkyArmyOficial,102,676,"0,15",16,1.000,"0,02",21,814,"0,03",-,87.700,,"0,048"
C00001,Encuesta Altica,https://drive.google.com/file/d/1G7zTes03Ocdl1xJutD_oMmriSzw6aaLt/view?usp=drive_link,P00029,X,04/04/2026,12:38:00,4/04/2026 12:38:00,2026-04-04T12:38:00,https://x.com/luifer_belleza/status/2040484151527113089,Link,U00018,@luifer_belleza,1,676,"0,00",0,1.000,"0,00",0,814,"0,00",102,87.700,"0,00","0,001"
C00001,Encuesta Altica,https://drive.google.com/file/d/13sScxbBIfu8AUibB8DI69vROGyqFuOk5/view?usp=drive_link,P00045,Facebook,04/04/2026,15:41:00,4/04/2026 15:41:00,2026-04-04T15:41:00,https://www.facebook.com/dazia.cmr/posts/pfbid0uZh6FhqUVCfnrz4X8zjZyEw1cLuAgtZts3BBaAW7gFwDKwFFHUQNSJ1eYFqPHgYul,Texto + Link + Imagen,U00034,dazia.cmr,8,676,"0,01",10,1.000,"0,01",0,814,"0,00",-,87.700,,"0,005"
C00001,Encuesta Altica,https://drive.google.com/file/d/1AIGoPTcuRKxkjQCY5Vy6WwyW5uqB8FYM/view?usp=drive_link,P00020,X,04/04/2026,16:01:00,4/04/2026 16:01:00,2026-04-04T16:01:00,https://x.com/SetoKaiba66/status/2040535204259930345,Texto + Link,U00020,@SetoKaiba66,27,676,"0,04",5,1.000,"0,01",6,814,"0,01",610,87.700,"0,01","0,015"
C00001,Encuesta Altica,https://drive.google.com/open?id=1cWaBfzIcY4lPGQSylsw6dSiVWOfR_KwW&usp=drive_copy,P00002,X,04/04/2026,16:23:00,4/04/2026 16:23:00,2026-04-04T16:23:00,https://x.com/gianca2709/status/2040540735687016624,Texto + Link,U00002,@gianca2709,635,676,"0,94",265,1.000,"0,27",136,814,"0,17",33.600,87.700,"0,38","0,439"
C00001,Encuesta Altica,https://drive.google.com/file/d/1K1M1R5_MSZU3i-djMuBPll5WVjZvO_gr/view?usp=drive_link,P00013,X,04/04/2026,16:32:00,4/04/2026 16:32:00,2026-04-04T16:32:00,https://x.com/KonstantAdriana/status/2040543027584761946,Texto + Link,U00011,@KonstantAdriana,1,676,"0,00",0,1.000,"0,00",0,814,"0,00",14,87.700,"0,00","0,000"
C00001,Encuesta Altica,https://drive.google.com/open?id=1AJVzG92bkUdXWNEbG0B-Q-q1g84KAC-9&usp=drive_copy,P00006,X,04/04/2026,16:40:00,4/04/2026 16:40:00,2026-04-04T16:40:00,https://x.com/FernandoGuineaN/status/2040545141182882121,Texto + Link,U00006,@FernandoGuineaN,32,676,"0,05",11,1.000,"0,01",1,814,"0,00",348,87.700,"0,00","0,016"
